Fz,C3,Cz,C4,Pz,PO7,Oz,PO8
176114.859375,170520.390625,201280.234375,199156.734375,157353.421875,156579.515625,151259.984375,166245.21875
176146.78125,170545.703125,201303.125,199181.59375,157397.6875,156587.921875,151273.03125,166275.0
176160.453125,170563.125,201311.53125,199189.90625,157415.65625,156595.703125,151299.6875,166297.96875
176184.421875,170588.609375,201330.75,199213.328125,157430.140625,156638.0,151353.765625,166337.578125
176186.65625,170588.171875,201323.421875,199206.265625,157413.234375,156639.15625,151331.59375,166327.921875
176202.203125,170603.546875,201333.609375,199213.328125,157435.40625,156652.921875,151336.421875,166337.3125
176227.78125,170629.734375,201358.203125,199237.921875,157486.015625,156684.65625,151378.0,166372.453125
176256.828125,170654.234375,201381.0,199260.0,157518.828125,156707.375,151405.0,166396.3125
176276.59375,170669.078125,201393.515625,199273.140625,157517.9375,156723.5625,151419.3125,166407.21875
176302.796875,170691.078125,201412.296875,199291.65625,157526.703125,156747.25,151445.328125,166427.78125
176331.40625,170718.078125,201435.359375,199313.109375,157561.5625,156774.34375,151469.375,166449.515625
176346.78125,170735.6875,201446.890625,199323.125,157596.875,156794.71875,151482.25,166460.59375
176359.5625,170749.8125,201454.40625,199330.0,157615.921875,156802.953125,151505.765625,166477.40625
176378.421875,170775.828125,201469.78125,199342.796875,157625.3125,156835.671875,151534.546875,166500.296875
176398.984375,170797.015625,201486.859375,199358.171875,157635.328125,156859.09375,151557.265625,166518.359375
176416.0625,170814.984375,201502.140625,199374.53125,157665.015625,156880.546875,151586.671875,166544.90625
176427.515625,170836.171875,201515.734375,199392.5,157706.046875,156902.015625,151616.8125,166578.96875
176431.796875,170844.765625,201516.8125,199392.6875,157713.828125,156905.59375,151601.609375,166568.34375
176437.703125,170843.328125,201518.234375,199391.96875,157702.5625,156914.890625,151596.0625,166561.0
176473.640625,170882.40625,201554.984375,199430.40625,157734.65625,156962.8125,151665.09375,166616.703125
176513.171875,170932.5625,201598.703125,199472.609375,157796.265625,157021.90625,151755.828125,166690.734375
176523.53125,170945.875,201606.125,199482.09375,157822.90625,157027.8125,151734.90625,166684.828125
176522.375,170948.5625,201597.015625,199472.34375,157804.484375,156990.078125,151653.109375,166632.796875
176545.796875,170956.609375,201614.890625,199492.8125,157813.875,157014.21875,151689.234375,166676.78125
176585.40625,170999.4375,201651.90625,199531.625,157847.578125,157062.859375,151754.3125,166735.34375
176603.28125,171025.625,201667.375,199549.40625,157875.109375,157083.421875,151773.890625,166749.03125
176609.359375,171031.53125,201672.203125,199556.46875,157904.0,157093.15625,151775.59375,166756.53125
176620.453125,171040.46875,201681.859375,199569.890625,157923.390625,157105.859375,151800.0,166775.40625
176634.671875,171059.15625,201691.515625,199580.171875,157923.484375,157124.359375,151824.140625,166795.703125
176649.953125,171070.25,201701.078125,199587.234375,157924.5625,157144.75,151846.765625,166815.8125
176674.546875,171097.515625,201721.1875,199609.765625,157954.953125,157176.9375,151870.1875,166839.953125
176697.609375,171122.1875,201738.09375,199621.734375,157995.1875,157197.046875,151893.875,166859.625
176708.34375,171129.34375,201742.921875,199629.875,158010.296875,157207.34375,151909.4375,166872.859375
176721.9375,171142.9375,201748.546875,199636.21875,158006.453125,157222.265625,151923.109375,166884.390625
176746.703125,171166.890625,201766.875,199654.828125,158016.015625,157249.265625,151948.328125,166908.796875
176766.453125,171192.109375,201783.953125,199671.546875,158046.15625,157273.046875,151973.8125,166935.625
176775.3125,171206.5,201790.03125,199674.21875,158075.390625,157282.4375,151981.859375,166940.0
176792.734375,171215.078125,201802.203125,199687.71875,158097.65625,157300.953125,152008.328125,166965.125
176818.21875,171233.328125,201820.34375,199708.734375,158102.203125,157317.484375,152031.921875,166986.140625
176858.90625,171274.0,201854.953125,199737.796875,158120.71875,157354.328125,152061.078125,167013.859375
176885.71875,171305.5625,201881.5,199761.9375,158156.21875,157384.71875,152083.421875,167033.25
176892.875,171301.8125,201883.203125,199765.5,158176.234375,157379.796875,152064.296875,167025.390625
176902.796875,171304.765625,201888.390625,199765.234375,158186.078125,157380.078125,152061.34375,167026.453125
176918.171875,171317.28125,201898.3125,199780.96875,158184.734375,157395.1875,152078.421875,167042.640625
176943.21875,171343.109375,201919.5,199801.453125,158194.5625,157419.5,152111.3125,167071.609375
176965.5625,171369.046875,201940.0625,199821.390625,158225.953125,157445.25,152140.546875,167099.328125
176984.421875,171386.65625,201953.46875,199832.734375,158262.15625,157460.359375,152154.046875,167110.5
177013.390625,171417.140625,201976.625,199855.546875,158295.78125,157495.5,152178.46875,167135.09375
177036.640625,171439.765625,201994.78125,199877.0,158303.5625,157516.421875,152206.984375,167161.375
177066.0625,171472.484375,202024.203125,199910.078125,158324.75,157551.546875,152248.828125,167203.9375
177077.328125,171491.4375,202035.28125,199918.125,158346.5625,157563.359375,152260.1875,167218.5
177086.984375,171490.90625,202042.609375,199926.0,158375.890625,157570.234375,152269.125,167229.40625
177099.9375,171502.96875,202054.859375,199938.234375,158397.25,157587.140625,152289.140625,167251.9375
177126.5,171532.390625,202081.328125,199968.1875,158411.375,157619.328125,152324.828125,167285.203125
177148.21875,171564.046875,202103.5,199983.03125,158420.328125,157642.390625,152340.015625,167300.21875
177163.875,171578.53125,202116.375,199991.890625,158442.40625,157657.5,152356.921875,167314.265625
177174.15625,171590.59375,202125.046875,200002.171875,158472.09375,157665.640625,152373.375,167328.75
177181.921875,171603.5625,202132.109375,200012.265625,158491.046875,157678.421875,152394.734375,167344.921875
177191.765625,171605.34375,202136.40625,200018.53125,158485.59375,157701.578125,152411.640625,167353.59375
177201.328125,171614.734375,202140.96875,200024.25,158474.6875,157698.265625,152397.859375,167360.125
177213.40625,171627.703125,202150.265625,200035.96875,158490.5,157702.46875,152398.046875,167371.125
177228.328125,171640.3125,202163.21875,200054.375,158528.859375,157723.390625,152428.984375,167390.796875
177236.734375,171649.875,202166.53125,200059.75,158540.3125,157735.28125,152429.875,167391.59375
177253.71875,171669.453125,202179.5,200072.078125,158545.046875,157759.609375,152463.3125,167422.890625
177268.921875,171689.484375,202193.0,200086.125,158549.78125,157781.328125,152503.1875,167446.9375
177283.671875,171709.59375,202204.96875,200098.09375,158568.921875,157798.765625,152501.84375,167446.21875
